id,league,team_abbrev,market,team_name,wins,losses,stadium_name,single_factor,double_factor,triple_factor,homerun_factor,gbfb_factor
110,NL,ARI,ARIZONA,DIAMONDBACKS,89,73,Chase Field,1.03,1.03,1.19,0.94,0.98
108,NL,ATL,ATLANTA,BRAVES,89,73,Truist Park,1.01,1.02,0.93,0.98,0.97
107,AL,BAL,BALTIMORE,ORIOLES,91,71,Oriole Park at Camden Yards,1,0.96,0.9,1.06,0.98
118,AL,BOS,BOSTON,RED SOX,81,81,Fenway Park,1.02,1.15,1.08,0.97,0.96
115,NL,CHC,CHICAGO,CUBS,83,79,Wrigley Field,1,1,1.11,0.96,0.96
130,AL,CHW,CHICAGO,WHITE SOX,41,121,Rate Field,0.98,0.93,0.88,1.05,0.95
122,NL,CIN,CINCINNATI,REDS,77,85,Great American Ball Park,0.98,1,0.94,1.1,1.01
106,AL,CLE,CLEVELAND,GUARDIANS,92,69,Progressive Field,0.99,1.07,0.7,0.86,1.04
129,NL,COL,COLORADO,ROCKIES,61,101,Coors Field,1.08,1.13,1.37,1.1,1.02
113,AL,DET,DETROIT,TIGERS,86,76,Comerica Park,1.01,1,1.29,1.01,1.05
111,AL,HOU,HOUSTON,ASTROS,88,73,Daikin Park‡,0.98,0.93,0.95,1,1.01
112,AL,KCR,KANSAS CITY,ROYALS,86,76,Kauffman Stadium,1.03,1.06,1.13,0.92,1.04
127,AL,LAA,LOS ANGELES,ANGELS,63,99,Angel Stadium,0.99,0.97,0.88,1.04,0.97
102,NL,LAD,LOS ANGELES,DODGERS,98,64,Dodger Stadium,0.92,0.97,0.71,1.22,0.95
128,NL,MIA,MIAMI,MARLINS,62,100,LoanDepot Park,0.99,0.96,0.98,0.9,0.96
104,NL,MIL,MILWAUKEE,BREWERS,93,69,American Family Field,0.97,0.99,0.94,1.03,0.95
117,AL,MIN,MINNESOTA,TWINS,82,80,Target Field,1.01,1.04,1.05,0.99,1
109,NL,NYM,NEW YORK,METS,89,73,Citi Field,0.93,0.86,0.7,0.99,1.04
101,AL,NYY,NEW YORK,YANKEES,94,68,Yankee Stadium,0.91,0.91,0.52,1.19,0.96
126,AL,OAK,OAKLAND,ATHLETICS,69,93,Sutter Health Park,0.98,1.02,1.02,0.93,0.95
103,NL,PHI,PHILADELPHIA,PHILLIES,95,67,Citizens Bank Park,0.98,0.96,1,1.1,0.98
123,NL,PIT,PITTSBURGH,PIRATES,76,86,PNC Park,1.01,1.06,0.97,0.94,0.97
105,NL,SDP,SAN DIEGO,PADRES,93,69,Petco Park,0.98,0.99,0.91,0.96,0.96
114,AL,SEA,SEATTLE,MARINERS,85,77,Oracle Park,0.98,0.94,0.84,1,1.01
120,NL,SFG,SAN FRANCISCO,GIANTS,80,82,T-Mobile Park,1.02,1.01,1.14,0.88,0.95
116,NL,STL,ST. LOUIS,CARDINALS,83,79,Busch Stadium,1.01,0.96,0.91,0.94,0.97
119,AL,TBR,TAMPA BAY,RAYS,80,82,George M. Steinbrenner Field,0.98,0.95,1.05,0.95,1.04
121,AL,TEX,TEXAS,RANGERS,78,84,Globe Life Field,1.05,1.05,1.16,1.05,1.01
124,AL,TOR,TORONTO,BLUE JAYS,74,88,Rogers Centre,0.99,1.03,1,1.02,0.96
125,NL,WSN,WASHINGTON,NATIONALS,71,91,Nationals Park,1.02,1.03,0.91,1.04,0.96
